name,address,type,homepage,cert_date
Centre for Astronomical Data of the Institute of Astronomy of the Russian Academy of Sciences,"Russian Academy of Sciences, Leninsky Avenue, Moscow, Russia",w,http://www.inasan.ru/en/divisions/dpss/cad/,2017
Ocean Biology Data Active Archive Center (OB DAAC),"NASA Goddard Space Flight Center, Greenbelt Road, Greenbelt, MD, United States",w,https://oceancolor.gsfc.nasa.gov/data/overview/,2017
Neotoma Paleoecological Database,"University of Minnesota, Minneapolis, MN, United States",w,http://neotomadb.org,2017
Socioeconomic Data and Applications Center (SEDAC),"The Earth Institute, Broadway, New York, NY, United States",w,http://sedac.ciesin.columbia.edu/,2015
"UNAVCO, Inc.","UNAVCO, Inc., 6350 Nautilus Drive, Boulder, CO, United States",w,https://www.unavco.org,2015
Land Processes Distributed Active Archive Center,"USGS EROS, Sioux Falls, 252nd Street, Garretson, SD, United States",w,https://lpdaac.usgs.gov/,2015
Permanent Service for Mean Sea Level,"National Oceanography Centre, Liverpool, United Kingdom",w,http://www.psmsl.org/,2015
"Research Institute for Sustainable Humanosphere, Kyoto University","Kyotodaigakuuji Campus, Uji, Kyoto Prefecture, Japan",w,http://www.rish.kyoto-u.ac.jp/?lang=en,2016
The Cambridge Crystallographic Data Centre,"Cambridge Crystallographic Data Centre, Great Britain, Union Road, Cambridge, United Kingdom",w,http://www.ccdc.cam.ac.uk/,2016
Global Biodiversity Information Facility,"Global Biodiversity Information Facility, København Ø, Denmark",w,http://www.gbif.org/,2016
"WDC for Geophysics, Beijing","Institute of Geology, China Earthquake Administration （South Gate）, Beijing, China",w,http://www.geophys.ac.cn,2016
Global Change Research Data Publishing and Repository,"Chinese Academy of Sciences Kindergarten, 南沙滩路, Beijing, China",w,http://www.geodoi.ac.cn/WebEn/Default.aspx,2016
Canadian Cryospheric Information Network/Polar Data Catalogue,"University of Waterloo, Waterloo, ON, Canada",w,http://www.polardata.ca,2016
Chinese Space Science Data Center,中国北京市海淀区中国空间科学学会,w,http://www.cssdc.ac.cn,2013
Cold and Arid Regions Science Data Center at Lanzhou (CARD),"Cold and Arid Regions Environmental and Engineering Research Institute Chinese Academy of Sciences, Yuguan North Road, Jiuquan, Gansu, China",w,http://card.westgis.ac.cn,2013
Global Hydrology Resource Center (GHRC),"The University of Alabama Huntsville- Earth System Science Program, Sparkman Drive Northwest, Huntsville, AL, United States",w,https://ghrc.nsstc.nasa.gov/home/,2013
Italian Centre for Astronomical Archive - IA2,"I. N. A. F. - Istituto Nazionale di Astrofisica - Osservatorio Astronomico Centralino, Trieste, Province of Trieste, Italy",w,http://ia2.oats.inaf.it,2013
Atmospheric Science Data Center (Distributed Active Archive Center),"NASA Langley Research Center, Hampton, VA, United States",w,http://eosweb.larc.nasa.gov/,2013
Canadian Astronomy Data Centre/ Canadian Virtual Observatory,"5070 West Saanich Road, Victoria, BC, Canada",w,http://www.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/en/,
Alaska Satellite Facility,"Alaska Satellite Facility, Fairbanks, AK, United States",w,http://www.asf.alaska.edu/,2014
Ocean Networks Canada,"Ocean Networks Canada, Gabriola Road, Victoria, BC, Canada",w,http://www.oceannetworks.ca,2014
Environment Climate Data Sweden,"Medicinaregatan 18A, 413 90 Gothenburg, Sweden",w,https://www.ecds.se,2014
NSIDC DAAC,"National Snow & Ice Data Center, 30th Street, Boulder, CO, United States",w,http://nsidc.org/daac/index.html,2012
World Stress Map Project,"Helmholtz Centre Potsdam GFZ German Research Centre, Telegrafenberg, Potsdam, Germany",w,http://www.world-stress-map.org,2012
WDC - CU,"National Snow & Ice Data Center, 30th Street, Boulder, CO, United States",w,https://nsidc.org/,2012
WDC - Ionosphere and Space Weather,日本東京都小金井市貫井北町４丁目２−１ 情報通信研究機構（国立研究開発法人）,w,http://wdc.nict.go.jp/wdc_e.html,2012
"Data Centre for Geography, Moscow","Moscow State University, ulitsa Leninskiye Gory, Moscow, Russia",w,http://www.eng.geogr.msu.ru/structure/labs/WDC/,2012
World Data Service for Paleoclimatology,"National Centers for Environmental Infomation (NCEI) - formerly the National Climate Data Center, Broadway, Boulder, CO, United States",w,http://www.ncdc.noaa.gov/paleo,2013
WFCC - World Data Centre for Microorganisms,"Institute of Microbiology Chinese Academy of Sciences, Beichen West Road, Chaoyang, Beijing, China",w,http://www.wdcm.org,2013
